created_at,full_text,username,tweet_url,value,value_link_source
Wed Jan 17 13:26:20 +0000 2024,"['sekjen', 'kemhan', 'marsdya', 'tni', 'donny', 'ermawan', 'taufanto', 'temu', 'menteri', 'laut', 'ikan', 'sakti', 'wahyu', 'trenggono', 'saktitrenggono', 'jakarta', 'rabu', 'httpstcojlwzzonu']",Kemhan_RI,https://twitter.com/Kemhan_RI/status/1747611311859712355,,
Wed Jan 17 13:26:05 +0000 2024,"['anak', 'tni', 'saja', 'singgung', 'banget', 'bapakx', 'masih', 'aktif']",RudyNanlohy4,https://twitter.com/RudyNanlohy4/status/1747611249280753727,,
Wed Jan 17 13:23:53 +0000 2024,"['chavesz', 'sok', 'tau', 'bokap', 'pensiun', 'perwira', 'tni', 'aja', 'malah', 'dukung']",awewidodo,https://twitter.com/awewidodo/status/1747610694189744395,,
Wed Jan 17 13:22:49 +0000 2024,"['vivacoid', 'kalo', 'gin', 'bisa', 'bilang', 'tni', 'netral']",Cabekiloan,https://twitter.com/Cabekiloan/status/1747610428212162832,,
Wed Jan 17 13:22:17 +0000 2024,"['pierreicon', 'vivacoid', 'lah', 'sotau', 'keluarga', 'prajurit', 'tni', 'lihat', 'apa', 'sampai', 'anies', 'valid', 'kok', 'prajurit', 'banyak', 'belum', 'sejahtera', 'rumah', 'dinas', 'naik', 'gaji', 'lebih', 'jarang', 'banding', 'masa', 'sby']",TegarFirr,https://twitter.com/TegarFirr/status/1747610293705031743,,
Wed Jan 17 13:21:20 +0000 2024,"['tvonenews', 'ngamuk', 'beda', 'nilai', 'kemenhan', 'tni']",Catuk4,https://twitter.com/Catuk4/status/1747610053627314264,,
Wed Jan 17 13:19:47 +0000 2024,"['nniffhh', 'tempodotco', 'prabowo', 'aniesbaswedan', 'ganjarpranowo', 'mohmahfudmd', 'cakiminow', 'gak', 'polisi', 'kpk', 'aja', 'gak', 'masuk', 'tni', 'saya', 'lapor', 'kpk', 'kalah', 'taring', 'kata', 'bukan', 'ranah']",NiBapakLoe,https://twitter.com/NiBapakLoe/status/1747609661636067427,,
Wed Jan 17 13:19:12 +0000 2024,"['keptenhusin', 'adriansyahyasin', 'bukan', 'whoos', 'tanah', 'tni']",GigiKakek,https://twitter.com/GigiKakek/status/1747609516861174122,,
Wed Jan 17 13:16:38 +0000 2024,"['prkedelkentang', 'pierreicon', 'vivacoid', 'hasil', 'klo', 'tni', 'imitasi', 'kemenhan', 'jelas', 'urus', 'tni', 'kemenhan', 'jalur', 'koordinasi', 'kerja', 'tni', 'cuma', 'bagi', 'kerja', 'kemenhan', 'kerja', 'tni', 'bagus', 'overall', 'kerja', 'kemenhan', 'jelek', 'kan', 'aja']",ImminentDeaths,https://twitter.com/ImminentDeaths/status/1747608870997143636,,
Wed Jan 17 13:15:36 +0000 2024,"['chavesz', 'tentara', 'dinas', 'papua', 'balikpapan', 'fakta', 'keluarga', 'mayoritas', 'sejahtera', 'tni', 'jadi', 'konsern', 'alutsista', 'ratus', 'triliunsn', 'nasib', 'tentara', 'abai']",arifinsam,https://twitter.com/arifinsam/status/1747608608928620586,,
Wed Jan 17 13:13:52 +0000 2024,"['dirjen', 'kuathan', 'kemhan', 'laksda', 'tni', 'bambang', 'irwanto', 'pimpin', 'upacara', 'bendera', 'bulan', 'jakarta', 'rabu', 'ikut', 'seluruh', 'personel', 'militer', 'asn', 'kemhan', 'httpstcofyutamx']",Kemhan_RI,https://twitter.com/Kemhan_RI/status/1747608173174010010,,
Wed Jan 17 13:12:25 +0000 2024,"['sosialisasi', 'netralitas', 'tni', 'milu', 'tahun', 'jajar', 'kodam', 'jaya', 'httpstcoctrathhfx']",KodamJayakarta,https://twitter.com/KodamJayakarta/status/1747607810643562582,,
Wed Jan 17 13:10:48 +0000 2024,"['murtadhaone', 'buat', 'pak', 'jokowi', 'sdh', 'dimakjulkan', 'alias', 'game', 'over', 'tak', 'perlu', 'proses', 'dpr', 'mpr', 'kesuen', 'nyata', 'sembako', 'atas', 'nama', 'presiden', 'menteri', 'nya', 'terang', 'sebut', 'jkw', 'indikasi', 'asntnikpubawaslu', 'intimidasi', 'bnyk', 'bocor', 'tak', 'jelas', 'ujung']",ddy_margind,https://twitter.com/ddy_margind/status/1747607401392652726,,
Wed Jan 17 13:10:44 +0000 2024,"['pecadopo', 'zamal', 'wilda', 'vivacoid', 'wkwkwkkw', 'gin', 'mas', 'zamal', 'menhan', 'bukan', 'tni', 'dulu', 'indonesia', 'pernah', 'punya', 'menhan', 'kalang', 'sipil', 'prof', 'mahfud', 'jadi', 'beda', 'dulu', 'nih', 'kmrin', 'nilai', 'buat', 'bijak', 'dukung', 'administrasi', 'tni', 'kemenhan']",_ndiik,https://twitter.com/_ndiik/status/1747607387429859425,,
Wed Jan 17 13:09:34 +0000 2024,"['duga', 'tekan', 'purnawirawan', 'tni', 'polri', 'tetap', 'dukung', 'ganjarmahfud', 'httpstcohxvlyisip']",KATADATAcoid,https://twitter.com/KATADATAcoid/status/1747607092817707517,,
Wed Jan 17 13:05:56 +0000 2024,"['baru', 'ngeh', 'anies', 'ngasih', 'statement', 'prabowo', 'punya', 'tanah', 'luas', 'kalo', 'singapura', 'target', 'audiensnya', 'buat', 'anggota', 'tni', 'aktif', 'bukan', 'buat', 'netijen']",senituru,https://twitter.com/senituru/status/1747606179357028404,,
Wed Jan 17 13:04:43 +0000 2024,"['kunjung', 'kerja', 'wilayah', 'kodim', 'layar', 'danrem', 'toddopuli', 'tekan', 'netralitas', 'tni', 'milu', 'httpstcooqmjlajkn']",kodamhasanuddin,https://twitter.com/kodamhasanuddin/status/1747605870299791659,,
Wed Jan 17 13:04:31 +0000 2024,"['geraldy', 'arigatou', 'ger', 'sung', 'party', 'sih', 'wkakkak', 'adegan', 'ger', 'belakang', 'lakespra', 'saryanto', 'tni']",anyn37_mas,https://twitter.com/anyn37_mas/status/1747605822639952291,,
Wed Jan 17 13:04:12 +0000 2024,"['tvonenews', 'loh', 'koq', 'marahmabes', 'tni', 'aja', 'slowtuh']",susanto_tri22,https://twitter.com/susanto_tri22/status/1747605742738366565,,
Wed Jan 17 13:02:35 +0000 2024,"['aib', 'tni', 'pernah', 'punya', 'mantan', 'jendral', 'ini', 'tnimantan', 'tni', 'punya', 'tgg', 'jawab', 'jaga', 'daulat', 'negara', 'bukan', 'malah', 'provokasi', 'utk', 'makar', 'puspen', 'tni', 'mantanjendralmaumakar', 'httpstcoadtmkfwwn']",Dulure_Gibran,https://twitter.com/Dulure_Gibran/status/1747605337115595115,,
Wed Jan 17 13:02:28 +0000 2024,"['hilang', 'fungsi', 'luhur', 'akibat', 'stroke', 'perlu', 'tanya', 'status', 'sehat', 'jiwa', 'beliau', 'rspad', 'jawab', 'nih', 'puspen', 'tni']",lopefutin,https://twitter.com/lopefutin/status/1747605307289915619,,
Wed Jan 17 13:00:55 +0000 2024,"['periksa', 'nandoderrr', 'ngga', 'sekali', 'bro', 'komplain', 'prabowo', 'jgn', 'jadi', 'capres', 'kan', 'tahan', 'tuh', 'bawah', 'tni', 'semua', 'adl', 'netral']",iqbaltawakkal_,https://twitter.com/iqbaltawakkal_/status/1747604917056147599,,
Wed Jan 17 13:00:37 +0000 2024,"['tni', 'kecewa', 'prabowo', 'nilai', 'rakyat', 'kecewa', 'dapat', 'informasi', 'beli', 'pesawat', 'bekas', 'tehnologi', 'nya', 'usang', 'beli', 'pesawat', 'rafale', 'lebih', 'mahal', 'beli', 'negara', 'perancis', 'negara', 'produksi', 'transaksi', 'semua', 'buka', 'publik', 'httpstcoipobiyikj']",DahonoB,https://twitter.com/DahonoB/status/1747604838480056693,,
Wed Jan 17 12:59:35 +0000 2024,"['jembatan', 'gantung', 'putus', 'prajurit', 'tni', 'evakuasi', 'warga', 'httpstcosrvafbx', 'httpstcoyqvhwnparq']",tni_ad,https://twitter.com/tni_ad/status/1747604580765180187,,
Wed Jan 17 12:59:32 +0000 2024,"['putrapadjadja', 'seperti', 'lebih', 'parah', 'tni', 'polri', 'sekarang', 'pihak', 'kuasa', 'jika', 'lihat', 'bagai', 'peristiwa', 'sekarang', 'lebih', 'sadis']",YudiSet16452924,https://twitter.com/YudiSet16452924/status/1747604568215871777,,
Wed Jan 17 12:58:57 +0000 2024,"['vidcon', 'rakor', 'kesiap', 'aman', 'tps', 'libat', 'tni', 'opsmantapbratamusi', 'pemilusumsel', 'pemilusejukdamaiaman', 'polisi', 'sumsel', 'polisi', 'indonesia', 'divisihumaspolri', 'listyosigitprabowo', 'kapolda', 'sumsel', 'mrgungs', 'polpak', 'spripimpolri', 'httpstcodhnbhovvhj']",Polres_OKUT,https://twitter.com/Polres_OKUT/status/1747604419108377025,,
Wed Jan 17 12:57:28 +0000 2024,"['tni', 'gegara', 'rumah', 'deket', 'kostrad', 'terus', 'ganti', 'pgn', 'jadi', 'pelukisseniman', 'terus', 'ganti', 'pgn', 'jadi', 'arsitek', 'skrg', 'pgn', 'punya', 'duit', 'banyak', 'terus', 'bikin', 'kos', 'kosan']",lhosayagatau,https://twitter.com/lhosayagatau/status/1747604047358750863,,
Wed Jan 17 12:57:21 +0000 2024,"['selasa', 'januari', 'terima', 'kasih', 'mastercorbuzier', 'atas', 'undang', 'acara', 'podcastnya', 'sempat', 'bagi', 'kisah', 'alam', 'saya', 'tni', 'angkat', 'darat', 'bahas', 'putar', 'politik', 'nilainilai', 'pimpin', 'baik', 'httpstcohnfoxvho']",Dudung_DAR,https://twitter.com/Dudung_DAR/status/1747604016589418955,,
Wed Jan 17 12:56:00 +0000 2024,"['jokowi', 'sdh', 'dimakjulkan', 'alias', 'game', 'over', 'apa', 'laku', 'hingga', 'feb', 'nyata', 'beri', 'dukung', 'anak', 'struktur', 'sistematis', 'masif', 'intimidasiiming', 'asntni', 'sembako', 'atas', 'nama', 'presiden', 'menteri', 'nya', 'terang', 'loh']",ddy_margind,https://twitter.com/ddy_margind/status/1747603680499761214,,
Wed Jan 17 12:55:55 +0000 2024,"['biasalahanakmud', 'rumah', 'tni', 'pancoran', 'masuk', 'kompleks', 'situ', 'serasa', 'masuk', 'dimensi', 'beda', 'lompat', 'tahun', 'an', 'gitu', 'bagus', 'bgt', 'ken', 'situ', 'terus', 'auto', 'healing', 'dah', 'kalo', 'kesana', 'hahaha', 'httpstcopkreemanu']",mikevegastrs,https://twitter.com/mikevegastrs/status/1747603657963741313,,
Wed Jan 17 12:54:36 +0000 2024,"['babinsa', 'desa', 'soko', 'serka', 'juhari', 'laksana', 'giat', 'bakti', 'tni', 'bantu', 'warga', 'rehab', 'rumah', 'tempat', 'rumah', 'bpsarmani', 'miri', 'rt', 'dssoko', 'kecmiri', 'kab', 'sragen', 'httpstcoadtoiol']",Kodim_Sragen,https://twitter.com/Kodim_Sragen/status/1747603325745566041,,
Wed Jan 17 12:54:30 +0000 2024,"['ab', 'adikumara', 'jungerrebell', 'nebuchanedzar', 'i', 'dia', 'kunci', 'tuju', 'beli', 'fex', 'integrasi', 'kf', 'pakai', 'mesin', 'donell', 'douglass', 'baru', 'lanjut', 'tot', 'kf', 'kemarin', 'macet', 'krn', 'mau', 'nya', 'pakai', 'mesin', 'sukhoi', 'krn', 'technisi', 'tni', 'familiar', 'dgn', 'sukhoi']",PANDHITADHYASA1,https://twitter.com/PANDHITADHYASA1/status/1747603302605549911,,
Wed Jan 17 12:53:17 +0000 2024,"['alie', 'fahnoor', 'kubu', 'anies', 'ada', 'purnawirawan', 'tni', 'kubu', 'ganjar', 'sama', 'masa', 'debat', 'tahan', 'kaga', 'konsul', 'dlu', 'ama', 'timsesnya', 'masing', 'kalo', 'siap', 'debat', 'bilang', 'aja', 'siap', 'playing', 'victim', 'aje', 'bapak']",Qwerty26148198,https://twitter.com/Qwerty26148198/status/1747602996081635382,,
Wed Jan 17 12:53:09 +0000 2024,"['dumbtobedumber', 'wkwk', 'byk', 'justifikasi', 'sih', 'misal', 'buat', 'berantas', 'pasu', 'papua', 'merdeka', 'kalo', 'aceh', 'kyk', 'gam', 'korban', 'biasa', 'rakyat', 'biasa', 'sih', 'tni', 'dtg', 'rakyat', 'minta', 'pajak', 'lindung', 'kkb', 'dtg', 'rakyat', 'minta', 'pajak', 'lindung', 'kaya', 'siapa']",rajapokemon19,https://twitter.com/rajapokemon19/status/1747602960308424868,,
Wed Jan 17 12:51:28 +0000 2024,"['chavesz', 'ngak', 'pilih', 'lah', 'keluarga', 'tni', 'istri', 'anak', 'ibu', 'ipar', 'mertua']",Nilot__,https://twitter.com/Nilot__/status/1747602539141632309,,
Wed Jan 17 12:49:44 +0000 2024,"['watanaxe', 'selfolconvo', 'ditamya', 'gin', 'militer', 'bgt', 'bukan', 'tni', 'kan']",miwseo,https://twitter.com/miwseo/status/1747602100031553845,,
Wed Jan 17 12:49:13 +0000 2024,"['pangdam', 'diponegoro', 'apel', 'siaga', 'matra', 'prajurit', 'tni', 'minta', 'redam', 'emosi', 'httpstcoljdtocebg']",IDNTimesJateng,https://twitter.com/IDNTimesJateng/status/1747601971799113877,,
Wed Jan 17 12:48:49 +0000 2024,"['randomworldwar', 'ohs', 'yett', 'kalau', 'dasar', 'kondisi', 'ini', 'tnikira', 'kira', 'hitung', 'sanggup', 'berapa', 'lama', 'hadap', 'invasi', 'luar']",streetw88889292,https://twitter.com/streetw88889292/status/1747601872335311089,,
Wed Jan 17 12:47:29 +0000 2024,"['tadi', 'apa', 'kata', 'eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'soal', 'nilai', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",AdhigkKurniawan,https://twitter.com/AdhigkKurniawan/status/1747601534895210971,,
Wed Jan 17 12:47:24 +0000 2024,"['pasal', 'dudung', 'jadi', 'ksad', 'jenderal', 'bintang', 'sebut', 'nilai', 'butuh', 'rumah', 'dinas', 'prajurit', 'tni', 'lebih', 'baik', 'prabowo', 'jabat', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",AdhigkKurniawan,https://twitter.com/AdhigkKurniawan/status/1747601513978167526,,
Wed Jan 17 12:47:19 +0000 2024,"['tayang', 'youtube', 'deddy', 'corbuzier', 'dudung', 'abdurachman', 'ban', 'nyata', 'anies', 'baswedan', 'kait', 'paruh', 'prajurit', 'tni', 'tak', 'punya', 'rumah', 'dinas', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",AdhigkKurniawan,https://twitter.com/AdhigkKurniawan/status/1747601493073781244,,
Wed Jan 17 12:47:18 +0000 2024,"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'beri', 'nilai', 'banding', 'balik', 'dua', 'capres', 'sebut', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",AdhigkKurniawan,https://twitter.com/AdhigkKurniawan/status/1747601488728449181,,
Wed Jan 17 12:47:10 +0000 2024,"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'buka', 'suara', 'beri', 'nilai', 'buat', 'menteri', 'tahan', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",AdhigkKurniawan,https://twitter.com/AdhigkKurniawan/status/1747601453907357949,,
Wed Jan 17 12:47:08 +0000 2024,"['skakmat', 'anies', 'baswedan', 'eks', 'ksad', 'dudung', 'abdurachman', 'nilai', 'prabowo', 'subianto', 'persen', 'rumah', 'tni', 'bagus', 'httpstcoekqekhr', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",AdhigkKurniawan,https://twitter.com/AdhigkKurniawan/status/1747601449025249455,,
Wed Jan 17 12:46:13 +0000 2024,"['serius', 'kelas', 'tni', 'ngerjain', 'proker', 'anak', 'kkn']",nctu1234,https://twitter.com/nctu1234/status/1747601216891462075,,
Wed Jan 17 12:44:15 +0000 2024,"['chavesz', 'prabowo', 'tni', 'pecat', 'karirnya', 'mulus', 'mertua']",rakyat_adu28341,https://twitter.com/rakyat_adu28341/status/1747600723087643081,,
Wed Jan 17 12:43:06 +0000 2024,"['cakap', 'tmn', 'kelas', 'siang', 'itu', 'kan', 'culik', 'aktivis', 'tmn', 'normal', 'ajasih', 'kan', 'tni', 'aksi', 'kamis', 'joke', 'you']",KjayanthvarmaV2,https://twitter.com/KjayanthvarmaV2/status/1747600432023904321,,
Wed Jan 17 12:43:00 +0000 2024,"['chavesz', 'tni', 'sakit', 'hati', 'nama', 'tni', 'sontoloyogoblok']",reno43467668,https://twitter.com/reno43467668/status/1747600408061878378,,
Wed Jan 17 12:42:48 +0000 2024,"['liputandotcom', 'stop', 'bodhi', 'masyarakat', 'indonesia', 'min', 'peringkat', 'kuat', 'militer', 'ada', 'israel', 'punya', 'nuklir', 'punya', 'industri', 'alutsista', 'sendiri', 'lah', 'impor', 'noh', 'meriam', 'engkol', 'pake', 'tni', 'jaman', 'suharto', 'muda']",Ari_evo,https://twitter.com/Ari_evo/status/1747600357600199152,,
Wed Jan 17 12:42:25 +0000 2024,"['ronny', 'hadyanto', 'diazepammg', 'versi', 'resmi', 'tni', 'mula', 'selamat', 'kapal', 'perang', 'inggris', 'kapal', 'torpedo', 'belanda', 'tenggelam', 'httpstcornzbzycz']",sefkelik,https://twitter.com/sefkelik/status/1747600260590162174,,
Wed Jan 17 12:41:42 +0000 2024,"['irwanresma', 'zy', 'zy', 'its', 'me', 'prabowo', 'adri', 'i', 'vaniakiara', 'dika', 'maxelyou', 'ki', 'cebong', 'haramasoy', 'iya', 'kan', 'pernah', 'ikut', 'naik', 'jet', 'tempur', 'tni', 'arti', 'sehat', 'jantung', 'sgt', 'prima']",wirausahamuda12,https://twitter.com/wirausahamuda12/status/1747600078104330534,,
Wed Jan 17 12:40:42 +0000 2024,"['rentfess', 'tni', 'nih', 'bos']",vacatiov,https://twitter.com/vacatiov/status/1747599829164085290,,
Wed Jan 17 12:39:58 +0000 2024,"['inti', 'jadi', 'instruktur', 'tetap', 'guru', 'militer', 'tarunataruni', 'tni', 'salah', 'satu', 'training', 'programme', 'mereka', 'bawa', 'sudah', 'terap', 'latih', 'fisik', 'teori', 'kelas', 'hingga', 'praktik', 'militer', 'lain']",AndCav4,https://twitter.com/AndCav4/status/1747599645159891393,,
Wed Jan 17 12:39:01 +0000 2024,"['txtdrberseragam', 'laku', 'anggota', 'tni', 'skrg', 'laku', 'udah', 'proses', 'disel', 'markas', 'polisi', 'militer']",Olikotor_,https://twitter.com/Olikotor_/status/1747599405208023527,,
Wed Jan 17 12:38:39 +0000 2024,"['instruktur', 'army', 'amp', 'australian', 'army', 'akademi', 'militer', 'tni', 'tempat', 'akademi', 'militer', 'bentuk', 'kerjasama', 'indonesia', 'australia', 'bidang', 'tahan', 'tuju', 'calon', 'perwira', 'akmil', 'lulus', 'dapat', 'lebih', 'professional', 'dan', 'lebih', 'baik', 'httpstcofodjse']",AndCav4,https://twitter.com/AndCav4/status/1747599312371195989,,
Wed Jan 17 12:38:31 +0000 2024,"['uji', 'kuat', 'fisik', 'caba', 'priawanita', 'cata', 'tni', 'lanal', 'cilacap', 'jalan', 'tes', 'samapta', 'jasmani', 'httpstcosprntifsr', 'news', 'berita', 'kabar', 'popular', 'klikwarta', 'infomasyarakat', 'viral', 'beritaterkini']",klikwarta_com,https://twitter.com/klikwarta_com/status/1747599277071954201,,
Wed Jan 17 12:38:13 +0000 2024,"['menhan', 'prabowo', 'berangkat', 'kapal', 'rumah', 'sakit', 'tni', 'bawa', 'bantu', 'palestina', 'besok', 'httpstcoyjugebp']",VIVAcoid,https://twitter.com/VIVAcoid/status/1747599204573487244,,
Wed Jan 17 12:38:11 +0000 2024,"['zahraproduction', 'dennysiregar', 'baru', 'tau', 'alas', 'jokowi', 'pecat', 'firli', 'nyata', 'kebiri', 'polri', 'tni', 'rendah', 'kudu', 'manut', 'plonga', 'plongo']",pentingyakin64,https://twitter.com/pentingyakin64/status/1747599195924844724,,
Wed Jan 17 12:38:01 +0000 2024,"['mah', 'gak', 'cuma', 'airbase', 'tni', 'doang', 'surabaya', 'naval', 'base', 'laku', 'sama', 'bakal', 'ngadepin', 'minimal', 'anggota', 'masih', 'muda', 'muda', 'wkwkwk']",FarisMoshi,https://twitter.com/FarisMoshi/status/1747599151263854907,,
Wed Jan 17 12:37:56 +0000 2024,"['trauma', 'banget', 'tiap', 'ketemu', 'tnipolisi', 'yaa', 'akhir', 'ketemu', 'belagu', 'banget', 'minta', 'tonjok']",sazyellaa,https://twitter.com/sazyellaa/status/1747599132498530700,,
Wed Jan 17 12:35:34 +0000 2024,"['urrangawak', 'dennysiregar', 'semua', 'survei', 'benar', 'ada', 'cuma', 'raup', 'aja', 'makanya', 'make', 'bansos', 'kades', 'satpol', 'tni', 'polri', 'jaksa', 'rakyat', 'milenial', 'gen', 'udah', 'cerdas', 'paham', 'politik']",pentingyakin64,https://twitter.com/pentingyakin64/status/1747598538081812800,,
Wed Jan 17 12:34:08 +0000 2024,"['panglima', 'kostrad', 'pangkostrad', 'letnan', 'jenderal', 'tni', 'muhammad', 'saleh', 'mustafa', 'direktur', 'utama', 'sang', 'hyang', 'seri', 'adhi', 'cahyono', 'nugroho', 'bumndukungpangan', 'sanghyangseri', 'kolaborasishsamp', 'pangkostrad', 'httpstcopclqmxbr']",BumnRapiJypr,https://twitter.com/BumnRapiJypr/status/1747598177065406843,,
Wed Jan 17 12:33:22 +0000 2024,"['recehtapisayng', 'panjang', 'jalan', 'geber', 'knalpot', 'oghhh', 'bukan', 'hny', 'depan', 'markas', 'tni']",bl4ck74ck,https://twitter.com/bl4ck74ck/status/1747597982420361666,,
Wed Jan 17 12:31:07 +0000 2024,"['puspita', 'eka', 'jebak', 'betmen', 'cipta', 'kondisi', 'rusuh', 'buka', 'jalan', 'tni', 'turun', 'lapang']",Hadirailguard,https://twitter.com/Hadirailguard/status/1747597415576907857,,
Wed Jan 17 12:29:18 +0000 2024,"['mas', 'ganjar', 'inspirasi', 'sikap', 'brkorban', 'tingkat', 'kualitas', 'hidup', 'prajurit', 'tni', 'polri', 'xcampfire', 'ganjarmahfud', 'dulujokowisekarangganjar', 'coblos', 'httpstconsckhpvjd']",yoansptiani1,https://twitter.com/yoansptiani1/status/1747596961010852056,,
Wed Jan 17 12:29:15 +0000 2024,"['watsitoyaaa', 'democrazymedia', 'bukan', 'tni']",OQSTPAMOENCAK,https://twitter.com/OQSTPAMOENCAK/status/1747596946045567049,,
Wed Jan 17 12:27:06 +0000 2024,"['doktertifa', 'syukur', 'sekarang', 'papua', 'aman', 'kendali', 'berkat', 'kerjasama', 'tnipolri', 'httpstcoppvzvnubs']",edwardus4,https://twitter.com/edwardus4/status/1747596406884589723,,
Wed Jan 17 12:26:28 +0000 2024,"['chavesz', 'bukan', 'kata', 'lebih', 'leceh', 'tni', 'httpstcoiglxxdewoa']",pingak_ted47752,https://twitter.com/pingak_ted47752/status/1747596245294817657,,
Wed Jan 17 12:26:09 +0000 2024,"['tvonenews', 'perwira', 'tni', 'media', 'masuk', 'angincondong', 'berat', 'haha']",YokiDaikhwa,https://twitter.com/YokiDaikhwa/status/1747596164692930931,,
Wed Jan 17 12:24:28 +0000 2024,"['upacara', 'an', 'bulan', 'januari', 'pimpin', 'inspektur', 'upacara', 'komandan', 'pusdikarhanud', 'brigjen', 'tni', 'edi', 'setiawan', 'tempat', 'lapang', 'upacara', 'poltekad', 'kodiklatad', 'rupa', 'saksi', 'laksana', 'upacara', 'ingat', 'an', 'penuh', 'makna', 'httpstcowlfphvl']",penpoltekad,https://twitter.com/penpoltekad/status/1747595742481707275,,
Wed Jan 17 12:23:35 +0000 2024,"['tadi', 'apa', 'kata', 'eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'soal', 'nilai', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",acurtis2346,https://twitter.com/acurtis2346/status/1747595522410750181,,
Wed Jan 17 12:23:32 +0000 2024,"['pasal', 'dudung', 'jadi', 'ksad', 'jenderal', 'bintang', 'sebut', 'nilai', 'butuh', 'rumah', 'dinas', 'prajurit', 'tni', 'lebih', 'baik', 'prabowo', 'jabat', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",acurtis2346,https://twitter.com/acurtis2346/status/1747595507055108323,,
Wed Jan 17 12:23:28 +0000 2024,"['tayang', 'youtube', 'deddy', 'corbuzier', 'dudung', 'abdurachman', 'ban', 'nyata', 'anies', 'baswedan', 'kait', 'paruh', 'prajurit', 'tni', 'tak', 'punya', 'rumah', 'dinas', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",acurtis2346,https://twitter.com/acurtis2346/status/1747595491226062877,,
Wed Jan 17 12:23:27 +0000 2024,"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'beri', 'nilai', 'banding', 'balik', 'dua', 'capres', 'sebut', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",acurtis2346,https://twitter.com/acurtis2346/status/1747595488147435725,,
Wed Jan 17 12:23:21 +0000 2024,"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'buka', 'suara', 'beri', 'nilai', 'buat', 'menteri', 'tahan', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",acurtis2346,https://twitter.com/acurtis2346/status/1747595460859294133,,
Wed Jan 17 12:23:20 +0000 2024,"['skakmat', 'anies', 'baswedan', 'eks', 'ksad', 'dudung', 'abdurachman', 'nilai', 'prabowo', 'subianto', 'persen', 'rumah', 'tni', 'bagus', 'httpstcokwrlurozay', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",acurtis2346,https://twitter.com/acurtis2346/status/1747595457596154135,,
Wed Jan 17 12:23:04 +0000 2024,"['coralzha', 'narxi', 'qancha', 'kotni', 'ayting', 'hammasini', 'sotib', 'olamannnn']",DostonJabborov3,https://twitter.com/DostonJabborov3/status/1747595390952874171,,
Wed Jan 17 12:22:22 +0000 2024,"['mantan', 'napi', 'koruptor', 'jgn', 'pilih', 'divhumas', 'polri', 'ccicpolri', 'puspen', 'tni', 'bnptri', 'jokowi', 'mohmahfudmd', 'prabowo', 'edo', 'binofficial', 'ri', 'listyosigitp', 'kompascom', 'kompastv', 'mediaindonesia', 'cnnindonesia', 'netmediatama', 'tvonenews', 'transtv', 'corp']",penjaganyankri3,https://twitter.com/penjaganyankri3/status/1747595214196535704,,
Wed Jan 17 12:22:07 +0000 2024,"['berita', 'foto', 'wakil', 'personel', 'satu', 'mabes', 'tni', 'hadir', 'konsultasi', 'publik', 'rencana', 'bangun', 'jalan', 'baru', 'tuju', 'kawasan', 'mabes', 'tni', 'httpstcoddboqwqw', 'httpstcoopraiswhjd']",KabarTujuhNews,https://twitter.com/KabarTujuhNews/status/1747595153433571773,,
Wed Jan 17 12:21:41 +0000 2024,"['nal', 'kabuni', 'puspen', 'tni', 'tniau', 'tniad', 'tnial', 'ini', 'apaa', 'lagi', 'omm', 'divhumas', 'polri', 'kemkominfo', 'dicidukk', 'ajaa', 'ini', 'orang', 'orang', 'buat', 'ricuh']",CakssR,https://twitter.com/CakssR/status/1747595040900419895,,
